Signal Name,P_fp,R_freq,I_suppress,Occurrences,Confidence,Score,Severity,Technique,Recommendation
New Source IP Access to Hikvision Endpoint,0.0,0.0007638888888888889,1.6793893129770994,66,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
Proxy Port Activity to the Internet,0.0,0.0007638888888888889,1.6793893129770994,66,Low,4,Medium,Proxy,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.0007523148148148148,1.653944020356234,65,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.0007523148148148148,1.653944020356234,65,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
SMTP to the Internet,0.0,0.0007407407407407407,1.6284987277353689,64,Low,5,Medium,Exfiltration Over Alternative Protocol,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.0007407407407407407,1.6284987277353689,64,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
Detect Outbound SMB Traffic,0.0,0.0007291666666666667,1.6030534351145038,63,Low,5,Medium,Protocol Tunneling,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.0007291666666666667,1.6030534351145038,63,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.0007291666666666667,1.6030534351145038,63,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.0007175925925925926,1.5776081424936386,62,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
SSH from the Internet,0.0,0.0007175925925925926,1.5776081424936386,62,Low,5,Medium,Exploit Public-Facing Application,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.0007175925925925926,1.5776081424936386,62,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
Suspicious Remote Desktop Network Activity,0.0,0.0007060185185185185,1.5521628498727735,61,Low,4,Medium,Remote Services,High recurrence - Consider threshold adjustment or context-based filtering
Clients Connecting to Multiple DNS Servers,0.0,0.0007060185185185185,1.5521628498727735,61,Low,3,Low,Fallback Channels,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0007060185185185185,1.5521628498727735,61,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0007060185185185185,1.5521628498727735,61,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.0007060185185185185,1.5521628498727735,61,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.0006944444444444445,1.5267175572519083,60,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.0006944444444444445,1.5267175572519083,60,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0006944444444444445,1.5267175572519083,60,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.0006828703703703704,1.5012722646310432,59,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0006828703703703704,1.5012722646310432,59,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
SSH from the Internet,0.0,0.0006712962962962962,1.4758269720101782,58,Low,5,Medium,Exploit Public-Facing Application,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.0006712962962962962,1.4758269720101782,58,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0006597222222222222,1.450381679389313,57,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.0006597222222222222,1.450381679389313,57,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.0006597222222222222,1.450381679389313,57,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.0006597222222222222,1.450381679389313,57,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.0006597222222222222,1.450381679389313,57,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
Suspicious Remote Desktop Network Activity,0.0,0.0006597222222222222,1.450381679389313,57,Low,4,Medium,Remote Services,High recurrence - Consider threshold adjustment or context-based filtering
SMTP to the Internet,0.0,0.0006597222222222222,1.450381679389313,57,Low,5,Medium,Exfiltration Over Alternative Protocol,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.0006481481481481481,1.424936386768448,56,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.0006481481481481481,1.424936386768448,56,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
SMTP to the Internet,0.0,0.0006481481481481481,1.424936386768448,56,Low,5,Medium,Exfiltration Over Alternative Protocol,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.0006481481481481481,1.424936386768448,56,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
Multiple Login Failure From A Disabled Account,0.0,0.0006365740740740741,1.3994910941475827,55,Medium,5,Medium,Valid Accounts,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.0006365740740740741,1.3994910941475827,55,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
RDP from the Internet,0.0,0.000625,1.3740458015267176,54,Low,5,Medium,Remote Services,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.000625,1.3740458015267176,54,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.000625,1.3740458015267176,54,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.000625,1.3740458015267176,54,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
Suspicious Remote Desktop Network Activity,0.0,0.0006134259259259259,1.3486005089058526,53,Low,4,Medium,Remote Services,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.0006134259259259259,1.3486005089058526,53,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0006134259259259259,1.3486005089058526,53,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0006134259259259259,1.3486005089058526,53,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.0006134259259259259,1.3486005089058526,53,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.0006134259259259259,1.3486005089058526,53,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0006018518518518519,1.3231552162849873,52,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.0006018518518518519,1.3231552162849873,52,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0006018518518518519,1.3231552162849873,52,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0006018518518518519,1.3231552162849873,52,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0006018518518518519,1.3231552162849873,52,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0006018518518518519,1.3231552162849873,52,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0006018518518518519,1.3231552162849873,52,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0006018518518518519,1.3231552162849873,52,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0006018518518518519,1.3231552162849873,52,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0006018518518518519,1.3231552162849873,52,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0006018518518518519,1.3231552162849873,52,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0006018518518518519,1.3231552162849873,52,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0006018518518518519,1.3231552162849873,52,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Suspicious Remote Desktop Network Activity,0.0,0.0006018518518518519,1.3231552162849873,52,Low,4,Medium,Remote Services,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0006018518518518519,1.3231552162849873,52,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0006018518518518519,1.3231552162849873,52,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0006018518518518519,1.3231552162849873,52,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0006018518518518519,1.3231552162849873,52,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0006018518518518519,1.3231552162849873,52,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0006018518518518519,1.3231552162849873,52,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0006018518518518519,1.3231552162849873,52,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
SMTP to the Internet,0.0,0.0006018518518518519,1.3231552162849873,52,Low,5,Medium,Exfiltration Over Alternative Protocol,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0006018518518518519,1.3231552162849873,52,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0006018518518518519,1.3231552162849873,52,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0005902777777777778,1.297709923664122,51,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0005902777777777778,1.297709923664122,51,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0005902777777777778,1.297709923664122,51,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0005902777777777778,1.297709923664122,51,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0005902777777777778,1.297709923664122,51,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0005902777777777778,1.297709923664122,51,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0005902777777777778,1.297709923664122,51,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0005902777777777778,1.297709923664122,51,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0005902777777777778,1.297709923664122,51,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0005902777777777778,1.297709923664122,51,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0005902777777777778,1.297709923664122,51,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0005902777777777778,1.297709923664122,51,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0005902777777777778,1.297709923664122,51,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0005902777777777778,1.297709923664122,51,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.0005902777777777778,1.297709923664122,51,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0005902777777777778,1.297709923664122,51,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0005902777777777778,1.297709923664122,51,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0005902777777777778,1.297709923664122,51,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0005902777777777778,1.297709923664122,51,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0005902777777777778,1.297709923664122,51,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0005902777777777778,1.297709923664122,51,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0005902777777777778,1.297709923664122,51,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0005902777777777778,1.297709923664122,51,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0005902777777777778,1.297709923664122,51,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0005902777777777778,1.297709923664122,51,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0005902777777777778,1.297709923664122,51,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0005902777777777778,1.297709923664122,51,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0005902777777777778,1.297709923664122,51,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0005902777777777778,1.297709923664122,51,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0005902777777777778,1.297709923664122,51,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0005902777777777778,1.297709923664122,51,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0005902777777777778,1.297709923664122,51,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0005902777777777778,1.297709923664122,51,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0005902777777777778,1.297709923664122,51,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0005902777777777778,1.297709923664122,51,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0005902777777777778,1.297709923664122,51,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0005902777777777778,1.297709923664122,51,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0005902777777777778,1.297709923664122,51,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0005902777777777778,1.297709923664122,51,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0005902777777777778,1.297709923664122,51,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0005902777777777778,1.297709923664122,51,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0005902777777777778,1.297709923664122,51,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0005902777777777778,1.297709923664122,51,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0005902777777777778,1.297709923664122,51,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0005902777777777778,1.297709923664122,51,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0005902777777777778,1.297709923664122,51,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0005902777777777778,1.297709923664122,51,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0005902777777777778,1.297709923664122,51,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0005902777777777778,1.297709923664122,51,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0005902777777777778,1.297709923664122,51,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0005902777777777778,1.297709923664122,51,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Suspicious Remote Desktop Network Activity,0.0,0.0005902777777777778,1.297709923664122,51,Low,4,Medium,Remote Services,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0005902777777777778,1.297709923664122,51,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0005902777777777778,1.297709923664122,51,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0005902777777777778,1.297709923664122,51,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0005902777777777778,1.297709923664122,51,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0005902777777777778,1.297709923664122,51,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0005902777777777778,1.297709923664122,51,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0005902777777777778,1.297709923664122,51,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0005902777777777778,1.297709923664122,51,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0005902777777777778,1.297709923664122,51,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0005902777777777778,1.297709923664122,51,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0005902777777777778,1.297709923664122,51,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0005902777777777778,1.297709923664122,51,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0005902777777777778,1.297709923664122,51,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0005902777777777778,1.297709923664122,51,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0005902777777777778,1.297709923664122,51,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0005902777777777778,1.297709923664122,51,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0005902777777777778,1.297709923664122,51,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0005902777777777778,1.297709923664122,51,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0005902777777777778,1.297709923664122,51,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0005902777777777778,1.297709923664122,51,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0005902777777777778,1.297709923664122,51,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0005902777777777778,1.297709923664122,51,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0005902777777777778,1.297709923664122,51,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0005902777777777778,1.297709923664122,51,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0005902777777777778,1.297709923664122,51,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0005902777777777778,1.297709923664122,51,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0005902777777777778,1.297709923664122,51,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0005902777777777778,1.297709923664122,51,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0005902777777777778,1.297709923664122,51,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0005902777777777778,1.297709923664122,51,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0005902777777777778,1.297709923664122,51,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0005902777777777778,1.297709923664122,51,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0005902777777777778,1.297709923664122,51,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0005902777777777778,1.297709923664122,51,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0005902777777777778,1.297709923664122,51,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0005902777777777778,1.297709923664122,51,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0005902777777777778,1.297709923664122,51,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0005902777777777778,1.297709923664122,51,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0005902777777777778,1.297709923664122,51,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0005902777777777778,1.297709923664122,51,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0005902777777777778,1.297709923664122,51,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0005902777777777778,1.297709923664122,51,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0005902777777777778,1.297709923664122,51,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0005902777777777778,1.297709923664122,51,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0005902777777777778,1.297709923664122,51,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0005902777777777778,1.297709923664122,51,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0005902777777777778,1.297709923664122,51,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0005902777777777778,1.297709923664122,51,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0005902777777777778,1.297709923664122,51,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0005902777777777778,1.297709923664122,51,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0005902777777777778,1.297709923664122,51,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0005902777777777778,1.297709923664122,51,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0005902777777777778,1.297709923664122,51,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0005902777777777778,1.297709923664122,51,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
